Abdominals,Full Reverse Crunch
Abdominals,Incline Hip Thrust
Abdominals,Incline Reverse Crunch
Abdominals,Lying Hip Thrust
Abdominals,Reverse Crunch
Abdominals,Reverse Medicine Ball Crunch
Abdominals,Alternating Heel Touch
Abdominals,Bent-Knee Medicine Ball Hip Rotation
Abdominals,Cable Chop
Abdominals,Cross Crunch
Abdominals,Cross Crunch w/ Medicine Ball
Abdominals,Decline Cross Sit-Up
Abdominals,Decline Sit-Up w/ Twist
Abdominals,Reverse Cable Chop
Abdominals,Seated Medicine Ball Twist
Abdominals,Trunk Rotator
Abdominals,Front Plank (from knees)
Abdominals,Front Plank (from toes)
Abdominals,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm)
Abdominals,Side-Plank (from knees)
Abdominals,Side-Plank (hip lift)
Abdominals,Side-Plank (from toes)
Abdominals,Ab Cycle
Abdominals,Kneeling Ab Rollout
Abdominals,Medicine Ball V-Up
Abdominals,V-Up
Abdominals,Weighted V-Up
Abdominals,Bent Knee Sit-Up
Abdominals,Bent-Knee Crunch
Abdominals,Crunch
Abdominals,Crunch
Abdominals,Decline Crunch
Abdominals,Decline Sit-Up
Abdominals,Heel Touch
Abdominals,Sit-Up
Abdominals,Weighted Crunch
Back,Assisted Pull-Up
Back,Close-Grip Lat Pulldown
Back,Inverted Pull-Up
Back,Lat Pulldown
Back,Pull-Up
Back,Reverse-Grip Lat Pullown
Back,Reverse-Grip Pull-Up
Back,V-Bar Pull-Up
Back,Wide-Grip Lat Pulldown
Back,Bent-Over Alternating Dumbbell Row
Back,Bent-Over Barbell Row
Back,Bent-Over Dumbbell Row
Back,Bent-Over Hammer Dumbbell Row
Back,Bent-Over Long Barbell Row
Back,Bent-Over Reverse-Grip Barbell Row
Back,Bent-Over Single-Arm Long Barbell Row
Back,Machine Row
Back,One Arm Dumbbell Row
Back,Reverse Incline Dumbbell Row
Back,Rope Cable Row
Back,Seated Cable Row
Back,Seated Row
Back,Single-Arm Cable Row
Back,Single-Arm Dumbbell Row
Back,Single-Arm Lat Pulldown
Back,Standing Cable Row
Back,Standing Single-Arm Cable Row
Biceps,Alternating Dumbbell Curl
Biceps,Alternating Hammer Curl
Biceps,Barbell Curl
Biceps,Bicep Curl
Biceps,Bottom/Top/Full Curls
Biceps,Cable Curl
Biceps,Concentration Dumbbell Curl
Biceps,Cross Body Hammer Curl
Biceps,Dumbbell Curl
Biceps,EZ-Bar Curl
Biceps,Hammer Curl
Biceps,Incline Alternating Dumbbell Curl
Biceps,Incline Alternating Hammer Curl
Biceps,Incline Dumbbell Curl
Biceps,Incline Hammer Curl
Biceps,Kneeling Cable Curl
Biceps,Lying Cable Curl
Biceps,Lying Double Biceps Cable Curl
Biceps,Lying High Cable Curl
Biceps,Machine Curl
Biceps,Overhead Double Biceps Cable Curl
Biceps,Overhead Rope Cable Curl
Biceps,Preacher Barbell Curl
Biceps,Preacher Cable Curl
Biceps,Preacher Dumbbell Curl
Biceps,Preacher EZ-Bar Curl
Biceps,Preacher Hammer Dumbbell Curl
Biceps,Preacher Single-Arm Dumbbell Curl
Biceps,Reverse Curl
Biceps,Rope Cable Curl
Biceps,Seated Alternating Curl
Biceps,Seated Alternating Hammer Curl
Biceps,Seated Dumbbell Curl
Biceps,Seated Hammer Curl
Biceps,Single-Arm Barbell Curl
Biceps,Single-Arm Cable Curl
Biceps,Single-Arm Dumbbell Curl w/ Incline Bench
Biceps,Spider Curl
Calves,Barbell Calf Raise
Calves,Calf Press
Calves,Calf Raise - Seated
Calves,Calf Raise - Standing
Calves,Dumbbell Calf Raise
Calves,Single-Leg Calf Press
Calves,Single-Leg Dumbbell Calf Raise
Calves,Smith Machine Calf Raise
Calves,Seated Calf Raise
Calves,Seated Single-Leg Calf Raise
Chest,Alternating Dumbbell Bench Press
Chest,Barbell Bench Press
Chest,Chest Press
Chest,Decline Dumbbell Bench Press
Chest,Decline Smith Machine Bench Press
Chest,Dumbbell Bench Press
Chest,Dumbbell Push-Up
Chest,Elevated Push-Up
Chest,Flat Bench Press
Chest,Incline Alternating Dumbbell Bench Press
Chest,Incline Barbell Bench Press
Chest,Incline Bench Press
Chest,Incline Dumbbell Bench Press
Chest,Incline Hammer Dumbbell Bench Press
Chest,Incline Single-Arm Dumbbell Bench Press
Chest,Incline Smith Machine Bench Press
Chest,Incline Twisting Dumbbell Bench Press
Chest,Kneeling Push-Up
Chest,Machine Bench Press
Chest,Machine Vertical Bench Press
Chest,Medicine Ball Crossover Push-Up
Chest,Push-Up
Chest,Single-Arm Dumbbell Bench Press
Chest,Smith Machine Bench Press
Chest,Twisting Dumbbell Bench Press
Chest,Wide-Grip Push-Up
Chest,Cable Crossover
Chest,Cable Fly
Chest,Decline Dumbbell Fly
Chest,Dumbbell Fly
Chest,High Cable Crossover
Chest,Incline Cable Fly
Chest,Incline Dumbbell Fly
Chest,Incline Twisting Dumbbell Fly
Chest,Low Cable Crossover
Chest,Pec Deck
Chest,Pec Deck Fly
Legs,Bent-Knee Single-Leg Hip Lift
Legs,Elevated Hip Lift
Legs,Elevated Single-Leg Hip Lift
Legs,Hip Lift
Legs,Single-Leg Hip Lift
Legs,Deadlift
Legs,Leg Curl
Legs,Lying Alternating Leg Curl
Legs,Lying Leg Curl
Legs,Lying Single-Leg Curl
Legs,Seated Leg Curl
Legs,Barbell Diagonal Lunge
Legs,Barbell Hack Squat
Legs,Barbell Lunge
Legs,Barbell Reverse Lunge
Legs,Barbell Side Lunge
Legs,Barbell Split Squat
Legs,Barbell Squat
Legs,Barbell Step-Up
Legs,Barbell Walking Lunge
Legs,Diagonal Lunge
Legs,Dumbbell Diagonal Lunge
Legs,Dumbbell Lunge
